System,id,Mol Mass,Mol Frac,Melt(K),Var(%),Reference,Boil(K),Var(%) .1,Reference,rho_a,rho_b,range(K),Var(%) .2,Reference,mu1_a,mu1_b,mu2_a,mu2_b,mu2_c,range(K)      .1,Var(%) .3,Reference,k_a,k_b,range(K),Var(%) .4,Reference   .1,cp_a,cp_b,cp_c,cp_d,Var(%) .5,Reference,Composition
LiClO4-LiNO3,3753,----,0.7-0.3,----,----,----,----,----,----,,,----,----,----,0.08138,19676.84,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.1754385964912281, 'Cl': 0.12280701754385966, 'O': 0.6491228070175439, 'N': 0.052631578947368425}"
LiClO4-LiNO3,3754,----,0.75-0.25,----,----,----,----,----,----,2.3058,0.0006291,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.17391304347826086, 'Cl': 0.13043478260869565, 'O': 0.6521739130434783, 'N': 0.043478260869565216}"
LiClO4-LiNO3,3755,----,0.9-0.1,----,----,----,----,----,----,,,----,----,----,0.09068,19446.3,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.1694915254237288, 'Cl': 0.15254237288135591, 'O': 0.6610169491525424, 'N': 0.01694915254237288}"
LiClO4-LiNO3,3756,----,1.0-0.0,----,----,----,----,----,----,2.3371,0.000612,----,----,----,0.09436,19522.87,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.16666666666666666, 'Cl': 0.16666666666666666, 'O': 0.6666666666666666, 'N': 0.0}"
LiClO4-NaClO4,3757,----,0.455-0.545,----,----,----,----,----,----,2.4364,0.0006818,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.07583333333333334, 'Cl': 0.16666666666666666, 'O': 0.6666666666666666, 'Na': 0.09083333333333334}"
LiClO4-NaClO4,3758,----,0.58-0.42,----,----,----,----,----,----,2.3894,0.000625,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.09666666666666666, 'Cl': 0.16666666666666666, 'O': 0.6666666666666666, 'Na': 0.06999999999999999}"
LiClO4-NaClO4,3759,----,0.73-0.27,----,----,----,----,----,----,2.4289,0.0007018,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.12166666666666666, 'Cl': 0.16666666666666666, 'O': 0.6666666666666666, 'Na': 0.045000000000000005}"
LiClO4-NaClO4,3760,----,0.937-0.063,----,----,----,----,----,----,2.4863,0.0008333,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.15616666666666668, 'Cl': 0.16666666666666666, 'O': 0.6666666666666666, 'Na': 0.0105}"
LiClO4-NaClO4,3761,----,1.0-0.0,----,----,----,----,----,----,2.3801,0.000683,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.16666666666666666, 'Cl': 0.16666666666666666, 'O': 0.6666666666666666, 'Na': 0.0}"
LiClO4-NaNO3,3762,----,0.0-1.0,----,----,----,----,----,----,2.3206,0.0007151,----,----,----,0.09139,16891.09,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.0, 'Cl': 0.0, 'O': 0.6, 'Na': 0.2, 'N': 0.2}"
LiClO4-NaNO3,3763,----,0.1-0.9,----,----,----,----,----,----,2.3028,0.000689,----,----,----,0.09091,17405.73,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.0196078431372549, 'Cl': 0.0196078431372549, 'O': 0.6078431372549019, 'Na': 0.1764705882352941, 'N': 0.1764705882352941}"
LiClO4-NaNO3,3764,----,0.28-0.72,----,----,----,----,----,----,2.2753,0.0006305,----,----,----,0.09824,17594.01,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.05303030303030303, 'Cl': 0.05303030303030303, 'O': 0.6212121212121212, 'Na': 0.13636363636363635, 'N': 0.13636363636363635}"
LiClO4-NaNO3,3765,----,0.6-0.4,----,----,----,----,----,----,2.3276,0.000656,----,----,----,0.1016,18075.18,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.10714285714285715, 'Cl': 0.10714285714285715, 'O': 0.6428571428571429, 'Na': 0.07142857142857144, 'N': 0.07142857142857144}"
LiClO4-NaNO3,3766,----,0.78-0.22,----,----,----,----,----,----,2.3439,0.000649,----,----,----,0.1021,18284.39,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.13494809688581313, 'Cl': 0.13494809688581313, 'O': 0.6539792387543253, 'Na': 0.03806228373702422, 'N': 0.03806228373702422}"
LiClO4-NaNO3,3767,----,0.9-0.1,----,----,----,----,----,----,2.3192,0.0005931,----,----,----,0.09817,18786.47,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.15254237288135591, 'Cl': 0.15254237288135591, 'O': 0.6610169491525424, 'Na': 0.01694915254237288, 'N': 0.01694915254237288}"
LiClO4-NaNO3,3768,----,1.0-0.0,----,----,----,----,----,----,2.3185,0.0005772,----,----,----,0.09436,19522.87,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.16666666666666666, 'Cl': 0.16666666666666666, 'O': 0.6666666666666666, 'Na': 0.0, 'N': 0.0}"
LiF,3769,----,Pure Salt,----,----,----,----,----,----,2.3581,0.0004902,----,----,----,0.18359,21832.02,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.5, 'F': 0.5}"
LiF-LiI,3770,----,0.0-1.0,----,----,----,----,----,----,3.807,0.00092,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.5, 'F': 0.0, 'I': 0.5}"
LiF-LiI,3771,----,0.25-0.75,----,----,----,----,----,----,3.529,0.000794,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.5, 'F': 0.125, 'I': 0.375}"
LiF-LiI,3772,----,0.5-0.5,----,----,----,----,----,----,3.275,0.000698,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.5, 'F': 0.25, 'I': 0.25}"
LiF-LiI,3773,----,0.75-0.25,----,----,----,----,----,----,2.933,0.000588,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.5, 'F': 0.375, 'I': 0.125}"
LiF-LiI,3774,----,1.0-0.0,----,----,----,----,----,----,2.266,0.000414,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.5, 'F': 0.5, 'I': 0.0}"
LiF-LiPO3,3775,----,0.8-0.2,----,----,----,----,----,----,,,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.3846153846153846, 'F': 0.3076923076923077, 'P': 0.07692307692307693, 'O': 0.23076923076923078}"
LiF-Na3AlF6,3776,----,0.0-1.0,----,----,----,----,----,----,3.2732,0.0009199,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.0, 'F': 0.6, 'Na': 0.3, 'Al': 0.1}"
LiF-Na3AlF6,3777,----,0.2-0.8,----,----,----,----,----,----,3.1758,0.0008502,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.023809523809523805, 'F': 0.5952380952380952, 'Na': 0.2857142857142857, 'Al': 0.09523809523809522}"
LiF-Na3AlF6,3778,----,0.4-0.6,----,----,----,----,----,----,3.0951,0.000802,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.05882352941176472, 'F': 0.5882352941176471, 'Na': 0.2647058823529412, 'Al': 0.08823529411764706}"
LiF-Na3AlF6,3779,----,0.539-0.461,----,----,----,----,----,----,,,----,----,----,0.00184461,69041.34,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.09476090014064698, 'F': 0.5810478199718706, 'Na': 0.2431434599156118, 'Al': 0.0810478199718706}"
LiF-Na3AlF6,3780,----,0.6-0.4,----,----,----,----,----,----,2.9929,0.0007421,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.11538461538461536, 'F': 0.5769230769230769, 'Na': 0.23076923076923075, 'Al': 0.07692307692307691}"
LiF-Na3AlF6,3781,----,0.7-0.3,----,----,----,----,----,----,2.9439,0.0007201,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.1590909090909091, 'F': 0.5681818181818182, 'Na': 0.20454545454545456, 'Al': 0.06818181818181819}"
LiF-Na3AlF6,3782,----,0.757-0.243,----,----,----,----,----,----,,,----,----,----,0.00110691,72254.7,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.1919371196754564, 'F': 0.5616125760649087, 'Na': 0.18483772819472616, 'Al': 0.06161257606490872}"
LiF-Na3AlF6,3783,----,0.8-0.2,----,----,----,----,----,----,2.8927,0.0007102,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.22222222222222224, 'F': 0.5555555555555556, 'Na': 0.16666666666666669, 'Al': 0.05555555555555556}"
LiF-Na3AlF6,3784,----,0.875-0.125,----,----,----,----,----,----,,,----,----,----,0.00254473,64363.55,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.2916666666666667, 'F': 0.5416666666666666, 'Na': 0.125, 'Al': 0.041666666666666664}"
LiF-Na3AlF6,3785,----,0.9-0.1,----,----,----,----,----,----,2.602,0.000554,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.3214285714285714, 'F': 0.5357142857142857, 'Na': 0.10714285714285715, 'Al': 0.03571428571428571}"
LiF-Na3AlF6,3786,----,0.949-0.051,----,----,----,----,----,----,,,----,----,----,0.0148957,47660.74,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.3941029900332226, 'F': 0.5211794019933554, 'Na': 0.06353820598006645, 'Al': 0.02117940199335548}"
LiF-Na3AlF6,3787,----,1.0-0.0,----,----,----,----,----,----,2.3289,0.00046803,----,----,----,0.130978,26839.97,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.5, 'F': 0.5, 'Na': 0.0, 'Al': 0.0}"
LiF-NaF,3788,----,0.0-1.0,----,----,----,----,----,----,2.759,0.00063915,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.0, 'F': 0.5, 'Na': 0.5}"
LiF-NaF,3789,----,0.1-0.9,----,----,----,----,----,----,2.9187,0.00077887,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.05, 'F': 0.5, 'Na': 0.45}"
LiF-NaF,3790,----,0.2-0.8,----,----,----,----,----,----,2.6766,0.00060429,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.1, 'F': 0.5, 'Na': 0.4}"
LiF-NaF,3791,----,0.3-0.7,----,----,----,----,----,----,2.5784,0.00054338,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.15, 'F': 0.5, 'Na': 0.35}"
LiF-NaF,3792,----,0.4-0.6,----,----,----,----,----,----,2.5791,0.00055747,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.2, 'F': 0.5, 'Na': 0.3}"
LiF-NaF,3793,----,0.5-0.5,----,----,----,----,----,----,2.5565,0.00055962,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.25, 'F': 0.5, 'Na': 0.25}"
LiF-NaF,3794,----,0.6-0.4,----,----,----,----,----,----,2.5325,0.00055523,----,----,----,0.1164,26811.1,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.3, 'F': 0.5, 'Na': 0.2}"
LiF-NaF,3795,----,0.7-0.3,----,----,----,----,----,----,2.4709,0.00052766,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.35, 'F': 0.5, 'Na': 0.15}"
LiF-NaF,3796,----,0.8-0.2,----,----,----,----,----,----,2.4254,0.00051181,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.4, 'F': 0.5, 'Na': 0.1}"
LiF-NaF,3797,----,0.9-0.1,----,----,----,----,----,----,2.3981,0.00051021,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.45, 'F': 0.5, 'Na': 0.05}"
LiF-NaF,3798,----,1.0-0.0,----,----,----,----,----,----,2.3289,0.00046803,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.5, 'F': 0.5, 'Na': 0.0}"
LiF-RbF,3799,----,0.43-0.57,----,----,----,----,----,----,3.56,0.00096,----,----,----,0.02241,38518.55,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.215, 'F': 0.5, 'Rb': 0.285}"
LiF-SmF3,3800,----,0.5-0.5,----,----,----,----,----,----,5.512,0.0008357,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.16666666666666666, 'F': 0.6666666666666666, 'Sm': 0.16666666666666666}"
LiF-SmF3,3801,----,0.6-0.4,----,----,----,----,----,----,4.987,0.0007372,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.21428571428571425, 'F': 0.6428571428571429, 'Sm': 0.14285714285714285}"
LiF-SmF3,3802,----,0.7-0.3,----,----,----,----,----,----,4.803,0.0009187,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.2692307692307693, 'F': 0.6153846153846154, 'Sm': 0.11538461538461539}"
LiF-SmF3,3803,----,0.8-0.2,----,----,----,----,----,----,3.946,0.0006474,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.3333333333333333, 'F': 0.5833333333333333, 'Sm': 0.08333333333333333}"
LiF-SmF3,3804,----,0.9-0.1,----,----,----,----,----,----,3.087,0.0004702,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.40909090909090906, 'F': 0.5454545454545455, 'Sm': 0.045454545454545456}"
LiF-SmF3,3805,----,1.0-0.0,----,----,----,----,----,----,2.074,0.0003321,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.5, 'F': 0.5, 'Sm': 0.0}"
LiF-ThF4,3806,----,0.0-1.0,----,----,----,----,----,----,7.34,0.000808,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.0, 'F': 0.8, 'Th': 0.2}"
LiF-ThF4,3807,----,0.2-0.8,----,----,----,----,----,----,7.354,0.001041,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.045454545454545456, 'F': 0.7727272727272727, 'Th': 0.18181818181818182}"
LiF-ThF4,3808,----,0.4-0.6,----,----,----,----,----,----,6.927,0.001115,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.10526315789473685, 'F': 0.7368421052631579, 'Th': 0.15789473684210525}"
LiF-ThF4,3809,----,0.6-0.4,----,----,----,----,----,----,6.159,0.001041,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.18749999999999997, 'F': 0.6875, 'Th': 0.125}"
LiF-ThF4,3810,----,0.8-0.2,----,----,----,----,----,----,4.787,0.000844,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.3076923076923077, 'F': 0.6153846153846154, 'Th': 0.07692307692307693}"
LiF-ThF4,3811,----,0.8136-0.1864,----,----,----,----,----,----,4.889,0.00092,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.3179118474523288, 'F': 0.6092528915286027, 'Th': 0.07283526101906845}"
LiF-ThF4,3812,----,1.0-0.0,----,----,----,----,----,----,2.371,0.0005,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.5, 'F': 0.5, 'Th': 0.0}"
LiF-UF4,3813,----,0.4-0.6,----,----,----,----,----,----,7.891,0.00169,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.10526315789473685, 'F': 0.7368421052631579, 'U': 0.15789473684210525}"
LiF-UF4,3814,----,0.5-0.5,----,----,----,----,----,----,6.959,0.001283,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.14285714285714285, 'F': 0.7142857142857143, 'U': 0.14285714285714285}"
LiF-UF4,3815,----,0.53-0.47,----,----,----,----,----,----,,,----,----,----,0.07901,43023.54,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.15542521994134897, 'F': 0.7067448680351907, 'U': 0.1378299120234604}"
LiF-UF4,3816,----,0.6-0.4,----,----,----,----,----,----,6.393,0.001174,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.18749999999999997, 'F': 0.6875, 'U': 0.125}"
LiF-UF4,3817,----,0.65-0.35,----,----,----,----,----,----,,,----,----,----,0.1696,36424.84,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.21311475409836067, 'F': 0.6721311475409836, 'U': 0.11475409836065574}"
LiF-UF4,3818,----,0.725-0.275,----,----,----,----,----,----,6.105,0.001272,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.2566371681415929, 'F': 0.6460176991150443, 'U': 0.09734513274336283}"
LiF-UF4,3819,----,0.8-0.2,----,----,----,----,----,----,,,----,----,----,0.04408,42879.19,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.3076923076923077, 'F': 0.6153846153846154, 'U': 0.07692307692307693}"
LiF-UF4,3820,----,0.85-0.15,----,----,----,----,----,----,4.461,0.0007285,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.34693877551020413, 'F': 0.5918367346938775, 'U': 0.06122448979591837}"
LiF-UF4,3821,----,0.88-0.12,----,----,----,----,----,----,,,----,----,----,6.04,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.3728813559322034, 'F': 0.576271186440678, 'U': 0.05084745762711865}"
LiF-UF4,3822,----,1.0-0.0,----,----,----,----,----,----,2.074,0.0003321,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.5, 'F': 0.5, 'U': 0.0}"
LiF-YF3,3823,----,0.4-0.6,----,----,----,----,----,----,4.174,0.0005065,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.12500000000000003, 'F': 0.6875, 'Y': 0.1875}"
LiF-YF3,3824,----,0.5-0.5,----,----,----,----,----,----,4.287,0.0007216,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.16666666666666666, 'F': 0.6666666666666666, 'Y': 0.16666666666666666}"
LiF-YF3,3825,----,0.6-0.4,----,----,----,----,----,----,3.902,0.0006154,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.21428571428571425, 'F': 0.6428571428571429, 'Y': 0.14285714285714285}"
LiF-YF3,3826,----,0.7-0.3,----,----,----,----,----,----,3.695,0.0006672,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.2692307692307693, 'F': 0.6153846153846154, 'Y': 0.11538461538461539}"
LiF-YF3,3827,----,0.81-0.19,----,----,----,----,----,----,3.254,0.0005595,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.34033613445378147, 'F': 0.5798319327731092, 'Y': 0.07983193277310924}"
LiF-YF3,3828,----,1.0-0.0,----,----,----,----,----,----,2.074,0.0003321,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.5, 'F': 0.5, 'Y': 0.0}"
LiI,3829,----,Pure Salt,----,----,----,----,----,----,3.7902,0.0009176,----,----,----,0.1265,17386.23,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.5, 'I': 0.5}"
LiI-NaI,3830,----,0.0-1.0,----,----,----,----,----,----,3.6144,0.0009392,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.0, 'I': 0.5, 'Na': 0.5}"
LiI-NaI,3831,----,0.203-0.797,----,----,----,----,----,----,3.5489,0.0008845,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.1015, 'I': 0.5, 'Na': 0.3985}"
LiI-NaI,3832,----,0.381-0.619,----,----,----,----,----,----,3.5936,0.0009139,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.1905, 'I': 0.5, 'Na': 0.3095}"
LiI-NaI,3833,----,0.671-0.329,----,----,----,----,----,----,3.5593,0.0008233,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.3355, 'I': 0.5, 'Na': 0.1645}"
LiI-NaI,3834,----,0.807-0.193,----,----,----,----,----,----,3.4719,0.0007081,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.4035, 'I': 0.5, 'Na': 0.0965}"
LiI-NaI,3835,----,1.0-0.0,----,----,----,----,----,----,3.7063,0.0008172,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.5, 'I': 0.5, 'Na': 0.0}"
LiI-RbI,3836,----,0.0-1.0,----,----,----,----,----,----,3.9667,0.0011613,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.0, 'I': 0.5, 'Rb': 0.5}"
LiI-RbI,3837,----,0.241-0.759,----,----,----,----,----,----,3.789,0.001017,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.1205, 'I': 0.5, 'Rb': 0.3795}"
LiI-RbI,3838,----,0.562-0.438,----,----,----,----,----,----,3.6212,0.0008651,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.281, 'I': 0.5, 'Rb': 0.219}"
LiI-RbI,3839,----,0.719-0.281,----,----,----,----,----,----,3.7499,0.0009608,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.3595, 'I': 0.5, 'Rb': 0.1405}"
LiI-RbI,3840,----,0.872-0.128,----,----,----,----,----,----,3.7703,0.0009548,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.436, 'I': 0.5, 'Rb': 0.064}"
LiI-RbI,3841,----,1.0-0.0,----,----,----,----,----,----,3.7063,0.0008172,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.5, 'I': 0.5, 'Rb': 0.0}"
LiNO2,3842,----,Pure Salt,----,----,----,----,----,----,,,----,----,----,0.002971,34342.85,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.25, 'N': 0.25, 'O': 0.5}"
LiNO3,3843,----,Pure Salt,----,----,----,----,----,----,2.068,0.000546,----,----,----,0.0823731,18575.18,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.2, 'N': 0.2, 'O': 0.6}"
LiNO3-LiOH,3844,----,0.0-1.0,----,----,----,----,----,----,1.718,0.000457,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.3333333333333333, 'N': 0.0, 'O': 0.3333333333333333, 'H': 0.3333333333333333}"
LiNO3-LiOH,3845,----,0.1-0.9,----,----,----,----,----,----,1.524,0.000151,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.3125, 'N': 0.03125, 'O': 0.37500000000000006, 'H': 0.28125}"
LiNO3-LiOH,3846,----,0.2-0.8,----,----,----,----,----,----,1.691,0.00031,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.2941176470588235, 'N': 0.058823529411764705, 'O': 0.4117647058823529, 'H': 0.23529411764705882}"
LiNO3-LiOH,3847,----,0.27-0.73,----,----,----,----,----,----,1.662,0.000373,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.2824858757062147, 'N': 0.07627118644067797, 'O': 0.4350282485875706, 'H': 0.2062146892655367}"
LiNO3-LiOH,3848,----,0.35-0.65,----,----,----,----,----,----,1.878,0.000504,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.2702702702702703, 'N': 0.0945945945945946, 'O': 0.45945945945945943, 'H': 0.17567567567567569}"
LiNO3-LiOH,3849,----,0.47-0.53,----,----,----,----,----,----,1.919,0.000515,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.25380710659898476, 'N': 0.11928934010152284, 'O': 0.49238578680203043, 'H': 0.13451776649746194}"
LiNO3-LiOH,3850,----,0.55-0.45,----,----,----,----,----,----,1.929,0.000495,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.2439024390243902, 'N': 0.13414634146341461, 'O': 0.5121951219512194, 'H': 0.1097560975609756}"
LiNO3-LiOH,3851,----,0.57-0.43,----,----,----,----,----,----,1.943,0.000519,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.24154589371980678, 'N': 0.13768115942028986, 'O': 0.5169082125603865, 'H': 0.10386473429951691}"
LiNO3-LiOH,3852,----,0.595-0.405,----,----,----,----,----,----,1.87,0.000382,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.23866348448687355, 'N': 0.14200477326968974, 'O': 0.5226730310262531, 'H': 0.0966587112171838}"
